strategy_id,indicator_id,parameters,created_at
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,2f201651-60d7-4933-b0a7-a381abfb1e30,"{""period"": 20}",2026-02-28 21:14:07.275538
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,bbe66efd-8e83-4941-82b3-9501ae09b436,"{""lookback"": 50}",2026-02-28 21:14:07.277531
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,3ed7556f-d8be-441f-99a4-0df37b582d78,"{""smooth_period"": 2, ""confirmation_candles"": 1}",2026-02-28 21:14:07.278528
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,818365dc-335a-4cbf-9e2b-b7533a43eade,"{""tenkan_period"": 9, ""kijun_period"": 26, ""senkou_span_b_period"": 52, ""chikou_shift"": 26}",2026-02-28 21:14:07.713666
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,717361e1-0bc7-44b0-ba5a-c033622c62e0,"{""ema_period"": 20, ""atr_period"": 20, ""multiplier"": 2}",2026-02-28 21:14:07.729556
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,b78c6a59-5d07-4cd0-a6d9-62e13d83f003,"{""fast_period"": 12, ""slow_period"": 26, ""signal_period"": 9}",2026-02-28 21:14:07.733133
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,7256ba5a-003a-48dd-ba07-d8ea71874d1b,"{""period"": 14}",2026-02-28 21:14:07.736875
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,a7d6161b-ed29-4e2c-8a42-65e4025a829e,"{""signal_period"": 9}",2026-02-28 21:14:07.753164
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,4b283271-d73a-4d8a-8c5c-60ecf656aa17,"{""initial_af"": 0.02, ""max_af"": 0.2, ""step_af"": 0.02}",2026-02-28 21:14:07.757983
e9b51b20-8e32-42df-b1ec-d9f8c2361ae6,d87a925e-0ad8-42a1-a4c9-8533af656493,"{""pivot_type"": 0, ""support_resistance_buffer"": 0.001}",2026-02-28 21:14:07.765614
