================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-05T20:41:16.865135
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260305_204116.log
================================================================================

[2026-03-05T20:41:16.868908] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-05T20:41:17.870485] [CONNECTED] Conexão estabelecida em DEMO-EU
[2026-03-05T20:41:20.838750] [RECV] Mensagem recebida (31727 bytes): {"asset":"NZDUSD_otc","period":1,"history":[[1772760681.086,0.58907],[1772760681.619,0.58907],[1772760682.121,0.58905],[1772760682.621,0.58903],[1772760683.121,0.58903],[1772760683.637,0.58901],[17727...
[2026-03-05T20:41:20.969636] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:20.990251] [RECV] Mensagem recebida (31951 bytes): {"asset":"USDCAD_otc","period":1,"history":[[1772760676.615,1.38212],[1772760677.116,1.38216],[1772760677.616,1.38221],[1772760678.086,1.38221],[1772760678.616,1.3822],[1772760679.116,1.38221],[177276...
[2026-03-05T20:41:21.149312] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.163403] [RECV] Mensagem recebida (31683 bytes): {"asset":"USDCHF_otc","period":1,"history":[[1772760682.121,0.81484],[1772760682.621,0.81481],[1772760683.121,0.81477],[1772760683.637,0.81481],[1772760684.088,0.81481],[1772760684.623,0.81478],[17727...
[2026-03-05T20:41:21.197072] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.198069] [RECV] Mensagem recebida (39 bytes): [["AUDCAD_otc",1772761281.053,0.91341]]
[2026-03-05T20:41:21.199788] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.202774] [RECV] Mensagem recebida (39 bytes): [["AUDNZD_otc",1772761281.054,1.10094]]
[2026-03-05T20:41:21.204769] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.204769] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772761281.054,113.167]]
[2026-03-05T20:41:21.205766] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.205766] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772761281.055,1.17383]]
[2026-03-05T20:41:21.206764] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.208018] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772761281.055,0.58822]]
[2026-03-05T20:41:21.209052] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.209052] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772761281.055,1.38168]]
[2026-03-05T20:41:21.210038] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.210038] [RECV] Mensagem recebida (39 bytes): [["USDCHF_otc",1772761281.055,0.81295]]
[2026-03-05T20:41:21.347232] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.355776] [RECV] Mensagem recebida (31847 bytes): {"asset":"USDJPY_otc","period":1,"history":[[1772760679.116,158.165],[1772760679.617,158.162],[1772760680.117,158.161],[1772760680.617,158.161],[1772760681.086,158.161],[1772760681.619,158.165],[17727...
[2026-03-05T20:41:21.562285] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.569659] [RECV] Mensagem recebida (33156 bytes): {"asset":"EURRUB_otc","period":1,"history":[[1772760678.616,85.29319],[1772760679.117,85.29317],[1772760679.618,85.29323],[1772760680.117,85.29335],[1772760680.618,85.29335],[1772760681.086,85.29335],...
[2026-03-05T20:41:21.672924] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.675899] [RECV] Mensagem recebida (39 bytes): [["AUDCAD_otc",1772761281.569,0.91345]]
[2026-03-05T20:41:21.678999] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.720827] [RECV] Mensagem recebida (39 bytes): [["AUDNZD_otc",1772761281.569,1.10097]]
[2026-03-05T20:41:21.722823] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.722823] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772761281.569,113.165]]
[2026-03-05T20:41:21.723820] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.724819] [RECV] Mensagem recebida (38 bytes): [["EURUSD_otc",1772761281.57,1.17383]]
[2026-03-05T20:41:21.726349] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.726363] [RECV] Mensagem recebida (38 bytes): [["NZDUSD_otc",1772761281.57,0.58823]]
[2026-03-05T20:41:21.728332] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.728986] [RECV] Mensagem recebida (38 bytes): [["USDCAD_otc",1772761281.57,1.38169]]
[2026-03-05T20:41:21.729978] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.729978] [RECV] Mensagem recebida (38 bytes): [["USDCHF_otc",1772761281.57,0.81299]]
[2026-03-05T20:41:21.731902] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:21.731902] [RECV] Mensagem recebida (38 bytes): [["USDJPY_otc",1772761281.57,158.044]]
[2026-03-05T20:41:21.733472] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
