================================================================================
WebSocket Connection Log
Connection ID: ativos_0dfe1755f9d2
Connection Type: ativos
User: ATIVOS Client 1
Created: 2026-03-03T16:31:55.303098
Log File: ATIVOS_Client_1_ativos_ativos_0dfe1755f9d2_20260303_163155.log
================================================================================

[2026-03-03T16:31:55.306463] [INIT] Iniciando ATIVOS Client #1
  Data: {"account_idx": 0, "user_name": "ATIVOS Client 1", "stable_id": "0dfe1755f9d2"}
[2026-03-03T16:31:56.963687] [CONNECT] Cliente conectado com sucesso
[2026-03-03T16:31:56.970285] [AUTH] Autenticação bem-sucedida
  Data: {"account_idx": 0, "data_keys": []}
[2026-03-03T16:31:57.192221] [CALLBACK:json_data] | keys: ['id']
[2026-03-03T16:31:57.192221] [CALLBACK:json_data] | event: successupdatePending
[2026-03-03T16:31:57.193219] [CALLBACK:json_data]
[2026-03-03T16:31:57.193763] [CALLBACK:json_data] | event: updateOpenedDeals
[2026-03-03T16:31:57.193763] [CALLBACK:json_data]
[2026-03-03T16:31:57.195753] [CALLBACK:json_data] | event: updateCharts
[2026-03-03T16:31:57.195753] [CALLBACK:json_data]
[2026-03-03T16:31:57.197182] [CALLBACK:json_data]
[2026-03-03T16:31:58.989349] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:31:59.458865] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-03T16:31:59.463825] [CALLBACK:stream_update] | symbols: ['CADCHF_otc']
[2026-03-03T16:31:59.470322] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:31:59.473878] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-03T16:31:59.947562] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-03T16:31:59.949597] [CALLBACK:stream_update] | symbols: ['CADCHF_otc']
[2026-03-03T16:31:59.951163] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:31:59.953179] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-03T16:31:59.954749] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-03T16:31:59.957389] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-03T16:32:00.493870] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-03T16:32:00.497534] [CALLBACK:stream_update] | symbols: ['CADCHF_otc']
[2026-03-03T16:32:00.499106] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:32:00.500129] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-03T16:32:00.501692] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-03T16:32:00.503739] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-03T16:32:00.506524] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-03T16:32:00.958757] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-03T16:32:00.960752] [CALLBACK:stream_update] | symbols: ['CADCHF_otc']
[2026-03-03T16:32:00.964348] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:32:00.966340] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-03T16:32:00.967633] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-03T16:32:00.969570] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-03T16:32:00.970567] [CALLBACK:stream_update] | symbols: ['USDCNH_otc']
[2026-03-03T16:32:00.971306] [CALLBACK:stream_update] | symbols: ['EURTRY_otc']
[2026-03-03T16:32:00.973297] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-03T16:32:01.569248] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-03T16:32:01.572239] [CALLBACK:stream_update] | symbols: ['CADCHF_otc']
[2026-03-03T16:32:01.573799] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:32:01.575304] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-03T16:32:01.576933] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-03T16:32:01.577442] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-03T16:32:01.579193] [CALLBACK:stream_update] | symbols: ['USDCNH_otc']
[2026-03-03T16:32:01.580176] [CALLBACK:stream_update] | symbols: ['EURTRY_otc']
[2026-03-03T16:32:01.582353] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-03T16:32:01.973970] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-03T16:32:01.975791] [CALLBACK:stream_update] | symbols: ['CADCHF_otc']
[2026-03-03T16:32:01.976783] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:32:01.978809] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-03T16:32:01.979337] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-03T16:32:01.981433] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-03T16:32:01.983023] [CALLBACK:stream_update] | symbols: ['USDCNH_otc']
[2026-03-03T16:32:01.984042] [CALLBACK:stream_update] | symbols: ['EURTRY_otc']
[2026-03-03T16:32:01.986035] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-03T16:32:02.470718] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-03T16:32:02.472710] [CALLBACK:stream_update] | symbols: ['CADCHF_otc']
[2026-03-03T16:32:02.473708] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:32:02.475398] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-03T16:32:02.476902] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-03T16:32:02.477900] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-03T16:32:02.479496] [CALLBACK:stream_update] | symbols: ['USDCNH_otc']
[2026-03-03T16:32:02.481197] [CALLBACK:stream_update] | symbols: ['EURTRY_otc']
[2026-03-03T16:32:02.482773] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-03T16:32:03.008915] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-03T16:32:03.012067] [CALLBACK:stream_update] | symbols: ['CADCHF_otc']
[2026-03-03T16:32:03.014062] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:32:03.016057] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-03T16:32:03.018051] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-03T16:32:03.019048] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-03T16:32:03.020045] [CALLBACK:stream_update] | symbols: ['USDCNH_otc']
[2026-03-03T16:32:03.021043] [CALLBACK:stream_update] | symbols: ['EURTRY_otc']
[2026-03-03T16:32:03.024034] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-03T16:32:03.471990] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-03T16:32:03.475074] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-03T16:32:03.477649] [CALLBACK:stream_update] | symbols: ['CADCHF_otc']
[2026-03-03T16:32:03.480899] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-03T16:32:03.482509] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-03T16:32:03.486507] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-03T16:32:03.488686] [CALLBACK:stream_update] | symbols: ['USDCNH_otc']
[2026-03-03T16:32:03.490798] [CALLBACK:stream_update] | symbols: ['EURTRY_otc']
[2026-03-03T16:32:03.492880] [CALLBACK:stream_update] | symbols: ['BNB-USD_otc']
[2026-03-03T16:32:04.114237] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
