================================================================================
WebSocket Connection Log
Connection ID: ativos_0dfe1755f9d2
Connection Type: ativos
User: ATIVOS Client 1
Created: 2026-03-02T23:03:22.877340
Log File: ATIVOS_Client_1_ativos_ativos_0dfe1755f9d2_20260302_230322.log
================================================================================

[2026-03-02T23:03:22.879336] [INIT] Iniciando ATIVOS Client #1
  Data: {"account_idx": 0, "user_name": "ATIVOS Client 1", "stable_id": "0dfe1755f9d2"}
[2026-03-02T23:03:24.488100] [CONNECT] Cliente conectado com sucesso
[2026-03-02T23:03:24.492990] [AUTH] Autenticação bem-sucedida
  Data: {"account_idx": 0, "data_keys": []}
[2026-03-02T23:03:24.595284] [CALLBACK:json_data] | keys: ['id']
[2026-03-02T23:03:24.596269] [CALLBACK:json_data] | event: updateOpenedDeals
[2026-03-02T23:03:24.596269] [CALLBACK:json_data]
[2026-03-02T23:03:24.598262] [CALLBACK:json_data] | event: updateCharts
[2026-03-02T23:03:24.598262] [CALLBACK:json_data]
[2026-03-02T23:03:24.599259] [CALLBACK:json_data]
[2026-03-02T23:03:24.599259] [CALLBACK:json_data] | event: successupdatePending
[2026-03-02T23:03:24.599259] [CALLBACK:json_data]
[2026-03-02T23:03:26.394237] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-02T23:03:26.702543] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-02T23:03:26.705736] [CALLBACK:stream_update] | symbols: ['AUDCHF_otc']
[2026-03-02T23:03:26.707758] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-02T23:03:26.709812] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-02T23:03:27.125484] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-02T23:03:27.127478] [CALLBACK:stream_update] | symbols: ['AUDCHF_otc']
[2026-03-02T23:03:27.128476] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-02T23:03:27.130146] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-02T23:03:27.131188] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-02T23:03:27.140467] [CALLBACK:stream_update] | symbols: ['TRX-USD_otc']
[2026-03-02T23:03:27.459309] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-02T23:03:27.463596] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-02T23:03:27.466723] [CALLBACK:stream_update] | symbols: ['AUDCHF_otc']
[2026-03-02T23:03:27.468674] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-02T23:03:27.471253] [CALLBACK:stream_update] | symbols: ['EURCHF_otc']
[2026-03-02T23:03:27.473247] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-02T23:03:27.475351] [CALLBACK:stream_update] | symbols: ['TRX-USD_otc']
[2026-03-02T23:03:28.114406] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-02T23:03:28.162569] [CALLBACK:stream_update] | symbols: ['AUDCHF_otc']
