================================================================================
WebSocket Connection Log
Connection ID: ativos_0dfe1755f9d2
Connection Type: ativos
User: ATIVOS Client 1
Created: 2026-03-05T20:41:16.845751
Log File: ATIVOS_Client_1_ativos_ativos_0dfe1755f9d2_20260305_204116.log
================================================================================

[2026-03-05T20:41:16.847414] [INIT] Iniciando ATIVOS Client #1
  Data: {"account_idx": 0, "user_name": "ATIVOS Client 1", "stable_id": "0dfe1755f9d2"}
[2026-03-05T20:41:18.646148] [CONNECT] Cliente conectado com sucesso
[2026-03-05T20:41:18.654124] [AUTH] Autenticação bem-sucedida
  Data: {"account_idx": 0, "data_keys": []}
[2026-03-05T20:41:23.726411] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:23.727983] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:23.730102] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:24.182790] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:24.211179] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:24.213254] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:24.214794] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:24.216314] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:24.217815] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:24.218813] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:24.220808] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:24.221805] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:24.692669] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:24.774370] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:24.776625] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:24.779048] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:24.780043] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:24.781041] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:24.781744] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:24.783749] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:24.784797] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:25.195104] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:25.272559] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:25.274091] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:25.275086] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:25.276084] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:25.277081] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:25.279076] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:25.280281] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:25.281324] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:25.838233] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:25.841224] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:25.842871] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:25.843871] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:25.844868] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:25.846003] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:25.846999] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:25.847996] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:25.848994] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:26.246519] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:26.261053] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:26.262073] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:26.263063] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:26.265058] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:26.266407] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:26.268500] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:26.270007] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:26.271004] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:26.682797] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:26.713549] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:26.715075] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:26.716610] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:26.718674] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:26.719703] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:26.721229] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:26.722292] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:26.723834] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:27.184709] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:27.328313] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:27.330306] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:27.331973] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:27.332482] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:27.333477] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:27.335546] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:27.337049] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:27.338046] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:27.692212] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:27.754413] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:27.756155] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:27.757182] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:27.759170] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:27.760580] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:27.761572] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:27.762570] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:27.763574] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:28.173918] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:28.208417] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:28.211027] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:28.212050] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:28.213021] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:28.215017] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:28.216549] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:28.217940] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:28.218962] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:28.687183] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:28.770945] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:28.772940] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:28.773937] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:28.775671] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:28.777173] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:28.778228] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:28.779223] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:28.781269] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:29.185909] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:29.220482] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:29.224471] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:29.228033] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:29.230050] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:29.232044] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:29.234461] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:29.236878] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:29.238487] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:29.691358] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:29.717053] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:29.718629] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:29.720134] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:29.721130] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:29.722128] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:29.724123] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:29.725119] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:29.726533] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:30.267839] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:30.269457] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:30.271423] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:30.272768] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:30.274273] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
